step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    3.6s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    7.1s
step    15000 | reward(last100)  0.0000 | sigma 0.0299 | elapsed   19.4s
step    20000 | reward(last100)  0.0000 | sigma 0.0280 | elapsed   31.6s
step    25000 | reward(last100)  0.0042 | sigma 0.0267 | elapsed   43.8s
step    30000 | reward(last100)  0.0052 | sigma 0.0261 | elapsed   56.1s
step    35000 | reward(last100)  0.0044 | sigma 0.0258 | elapsed   68.4s
step    40000 | reward(last100)  0.0043 | sigma 0.0257 | elapsed   80.7s
step    45000 | reward(last100)  0.0043 | sigma 0.0256 | elapsed   93.0s
step    50000 | reward(last100)  0.0043 | sigma 0.0256 | elapsed  105.4s
step    55000 | reward(last100)  0.0043 | sigma 0.0255 | elapsed  120.4s
step    60000 | reward(last100)  0.0014 | sigma 0.0255 | elapsed  134.4s
step    65000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  148.4s
step    70000 | reward(last100)  0.0000 | sigma 0.0254 | elapsed  162.3s
step    75000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  176.2s
step    80000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  190.2s
step    85000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  204.1s
step    90000 | reward(last100)  0.0000 | sigma 0.0253 | elapsed  218.1s
step    95000 | reward(last100)  0.0000 | sigma 0.0252 | elapsed  232.0s
step   100000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  245.9s
step   105000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  258.7s
step   110000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  271.2s
step   115000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  283.6s
step   120000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  296.1s
step   125000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  308.6s
step   130000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  321.1s
step   135000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  333.7s
step   140000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  346.4s
step   145000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  358.9s
step   150000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  371.6s
step   155000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  386.6s
step   160000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  400.1s
step   165000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  412.6s
step   170000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  425.1s
step   175000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  438.4s
step   180000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  452.4s
step   185000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  466.6s
step   190000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  480.0s
step   195000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  492.6s
