step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    4.2s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.4s
step    15000 | reward(last100)  0.0000 | sigma 0.0302 | elapsed   26.1s
step    20000 | reward(last100)  0.0089 | sigma 0.0287 | elapsed   46.3s
step    25000 | reward(last100)  0.0072 | sigma 0.0273 | elapsed   67.8s
step    30000 | reward(last100)  0.0060 | sigma 0.0265 | elapsed   89.2s
step    35000 | reward(last100)  0.0071 | sigma 0.0261 | elapsed  110.9s
step    40000 | reward(last100)  0.0069 | sigma 0.0259 | elapsed  129.0s
step    45000 | reward(last100)  0.0069 | sigma 0.0258 | elapsed  149.3s
step    50000 | reward(last100)  0.0069 | sigma 0.0257 | elapsed  166.8s
step    55000 | reward(last100)  0.0032 | sigma 0.0256 | elapsed  185.0s
step    60000 | reward(last100)  0.0057 | sigma 0.0255 | elapsed  204.0s
step    65000 | reward(last100)  0.0057 | sigma 0.0255 | elapsed  225.9s
step    70000 | reward(last100)  0.0038 | sigma 0.0254 | elapsed  246.9s
step    75000 | reward(last100)  0.0038 | sigma 0.0254 | elapsed  264.5s
step    80000 | reward(last100)  0.0038 | sigma 0.0253 | elapsed  285.9s
step    85000 | reward(last100)  0.0078 | sigma 0.0253 | elapsed  307.1s
step    90000 | reward(last100)  0.0065 | sigma 0.0252 | elapsed  325.5s
step    95000 | reward(last100)  0.0041 | sigma 0.0252 | elapsed  341.0s
step   100000 | reward(last100)  0.0041 | sigma 0.0252 | elapsed  357.6s
step   105000 | reward(last100)  0.0041 | sigma 0.0252 | elapsed  377.5s
step   110000 | reward(last100)  0.0041 | sigma 0.0251 | elapsed  393.9s
step   115000 | reward(last100)  0.0041 | sigma 0.0251 | elapsed  411.9s
step   120000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  435.6s
step   125000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  458.4s
step   130000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  480.8s
step   135000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  501.4s
step   140000 | reward(last100)  0.0000 | sigma 0.0250 | elapsed  521.9s
step   145000 | reward(last100)  0.0067 | sigma 0.0250 | elapsed  541.0s
step   150000 | reward(last100)  0.0067 | sigma 0.0249 | elapsed  563.0s
step   155000 | reward(last100)  0.0067 | sigma 0.0249 | elapsed  583.1s
step   160000 | reward(last100)  0.0079 | sigma 0.0249 | elapsed  605.2s
step   165000 | reward(last100)  0.0079 | sigma 0.0249 | elapsed  625.1s
step   170000 | reward(last100)  0.0137 | sigma 0.0249 | elapsed  647.9s
step   175000 | reward(last100)  0.0335 | sigma 0.0249 | elapsed  670.4s
step   180000 | reward(last100)  0.0386 | sigma 0.0249 | elapsed  692.7s
step   185000 | reward(last100)  0.0569 | sigma 0.0248 | elapsed  717.6s
step   190000 | reward(last100)  0.0744 | sigma 0.0248 | elapsed  743.0s
step   195000 | reward(last100)  0.0819 | sigma 0.0248 | elapsed  763.5s
step   200000 | reward(last100)  0.0819 | sigma 0.0247 | elapsed  781.8s
step   205000 | reward(last100)  0.0761 | sigma 0.0246 | elapsed  799.5s
step   210000 | reward(last100)  0.0563 | sigma 0.0244 | elapsed  813.6s
step   215000 | reward(last100)  0.0446 | sigma 0.0242 | elapsed  827.3s
step   220000 | reward(last100)  0.0263 | sigma 0.0240 | elapsed  841.5s
step   225000 | reward(last100)  0.0087 | sigma 0.0238 | elapsed  856.8s
step   230000 | reward(last100)  0.0087 | sigma 0.0236 | elapsed  870.8s
step   235000 | reward(last100)  0.0000 | sigma 0.0234 | elapsed  888.7s
step   240000 | reward(last100)  0.0000 | sigma 0.0233 | elapsed  907.6s
step   245000 | reward(last100)  0.0000 | sigma 0.0231 | elapsed  926.4s
step   250000 | reward(last100)  0.0000 | sigma 0.0230 | elapsed  945.1s
step   255000 | reward(last100)  0.0000 | sigma 0.0229 | elapsed  960.4s
step   260000 | reward(last100)  0.0000 | sigma 0.0228 | elapsed  976.8s
step   265000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed  995.2s
step   270000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed 1014.3s
step   275000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed 1033.5s
step   280000 | reward(last100)  0.0000 | sigma 0.0227 | elapsed 1049.5s
step   285000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed 1067.7s
step   290000 | reward(last100)  0.0000 | sigma 0.0226 | elapsed 1086.4s
step   295000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1105.1s
step   300000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1124.5s
step   305000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1141.6s
step   310000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1156.5s
step   315000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1175.4s
step   320000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1192.0s
step   325000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1207.6s
step   330000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1227.5s
step   335000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1247.4s
step   340000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1267.3s
step   345000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1287.2s
step   350000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1307.3s
step   355000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1326.1s
step   360000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1345.7s
step   365000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1365.8s
step   370000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1385.1s
step   375000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1402.6s
step   380000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1420.4s
step   385000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1437.9s
step   390000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1454.1s
step   395000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1469.4s
step   400000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1484.7s
step   405000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1500.3s
step   410000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1517.1s
step   415000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1534.3s
step   420000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1551.4s
step   425000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1567.4s
step   430000 | reward(last100)  0.0000 | sigma 0.0224 | elapsed 1583.3s
step   435000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1599.5s
step   440000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1616.8s
step   445000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1634.1s
step   450000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1650.3s
step   455000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1668.8s
step   460000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1687.2s
step   465000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1707.5s
step   470000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1727.8s
step   475000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1747.7s
step   480000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1765.3s
step   485000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1781.9s
step   490000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1799.0s
step   495000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1817.8s
step   500000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1838.1s
step   505000 | reward(last100)  0.0000 | sigma 0.0223 | elapsed 1856.0s
step   510000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1873.1s
step   515000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1889.5s
step   520000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1905.3s
step   525000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1921.2s
step   530000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1938.0s
step   535000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1953.9s
step   540000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1969.6s
step   545000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 1985.3s
step   550000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2001.1s
step   555000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2019.6s
step   560000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2041.3s
step   565000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2062.6s
step   570000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2083.6s
step   575000 | reward(last100)  0.0000 | sigma 0.0222 | elapsed 2102.3s
step   580000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2119.9s
step   585000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2140.6s
step   590000 | reward(last100)  0.0000 | sigma 0.0221 | elapsed 2162.0s
