step     5000 | reward(last100)  0.0255 | sigma 0.0309 | elapsed    5.6s
step    10000 | reward(last100)  0.0128 | sigma 0.0309 | elapsed   11.0s
step    15000 | reward(last100)  0.0087 | sigma 0.0295 | elapsed   31.8s
step    20000 | reward(last100)  0.0065 | sigma 0.0276 | elapsed   48.3s
step    25000 | reward(last100)  0.0116 | sigma 0.0263 | elapsed   67.8s
step    30000 | reward(last100)  0.0098 | sigma 0.0256 | elapsed   87.0s
step    35000 | reward(last100)  0.0113 | sigma 0.0253 | elapsed  104.2s
step    40000 | reward(last100)  0.0088 | sigma 0.0251 | elapsed  126.5s
step    45000 | reward(last100)  0.0088 | sigma 0.0250 | elapsed  146.8s
step    50000 | reward(last100)  0.0088 | sigma 0.0249 | elapsed  166.8s
step    55000 | reward(last100)  0.0088 | sigma 0.0248 | elapsed  185.7s
step    60000 | reward(last100)  0.0042 | sigma 0.0247 | elapsed  202.5s
step    65000 | reward(last100)  0.0073 | sigma 0.0247 | elapsed  221.7s
step    70000 | reward(last100)  0.0044 | sigma 0.0246 | elapsed  241.1s
step    75000 | reward(last100)  0.0031 | sigma 0.0246 | elapsed  259.9s
step    80000 | reward(last100)  0.0031 | sigma 0.0245 | elapsed  279.6s
step    85000 | reward(last100)  0.0031 | sigma 0.0245 | elapsed  298.6s
step    90000 | reward(last100)  0.0031 | sigma 0.0245 | elapsed  317.4s
step    95000 | reward(last100)  0.0031 | sigma 0.0244 | elapsed  335.9s
step   100000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  355.2s
step   105000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  373.4s
step   110000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  388.6s
step   115000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  404.6s
step   120000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  424.8s
step   125000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  440.2s
step   130000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  459.1s
step   135000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  477.9s
step   140000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  496.4s
step   145000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  515.5s
step   150000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  533.1s
step   155000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  550.4s
step   160000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  569.7s
step   165000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  585.5s
step   170000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  601.3s
step   175000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  618.3s
step   180000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  638.0s
step   185000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  655.8s
step   190000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  674.7s
step   195000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  691.9s
step   200000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  706.1s
step   205000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  721.6s
step   210000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  736.4s
step   215000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  751.5s
step   220000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  766.6s
step   225000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  785.3s
step   230000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  805.6s
step   235000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  824.5s
step   240000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  845.1s
step   245000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  865.1s
step   250000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  882.7s
step   255000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  899.5s
step   260000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  920.1s
step   265000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  940.6s
step   270000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  961.1s
step   275000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  978.5s
step   280000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  994.7s
step   285000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1013.8s
step   290000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1034.2s
step   295000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1054.5s
step   300000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1074.1s
step   305000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1091.2s
step   310000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1107.5s
step   315000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1123.9s
step   320000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1141.3s
step   325000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1158.3s
step   330000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1178.1s
step   335000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1198.1s
step   340000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1219.7s
step   345000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1238.5s
step   350000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1254.7s
step   355000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1271.8s
step   360000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1288.2s
step   365000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1306.6s
step   370000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1325.3s
step   375000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1344.8s
step   380000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1359.9s
step   385000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1379.1s
step   390000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1400.5s
step   395000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1420.0s
step   400000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1436.2s
step   405000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1453.6s
step   410000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1474.8s
step   415000 | reward(last100)  0.0057 | sigma 0.0238 | elapsed 1496.4s
step   420000 | reward(last100)  0.0057 | sigma 0.0238 | elapsed 1518.4s
step   425000 | reward(last100)  0.0057 | sigma 0.0238 | elapsed 1539.5s
step   430000 | reward(last100)  0.0139 | sigma 0.0238 | elapsed 1560.8s
step   435000 | reward(last100)  0.0153 | sigma 0.0238 | elapsed 1581.8s
step   440000 | reward(last100)  0.0153 | sigma 0.0238 | elapsed 1603.1s
step   445000 | reward(last100)  0.0153 | sigma 0.0239 | elapsed 1622.3s
step   450000 | reward(last100)  0.0096 | sigma 0.0238 | elapsed 1642.8s
step   455000 | reward(last100)  0.0096 | sigma 0.0238 | elapsed 1664.5s
step   460000 | reward(last100)  0.0096 | sigma 0.0238 | elapsed 1684.4s
step   465000 | reward(last100)  0.0014 | sigma 0.0239 | elapsed 1702.2s
step   470000 | reward(last100)  0.0014 | sigma 0.0239 | elapsed 1720.5s
step   475000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed 1739.2s
step   480000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed 1757.9s
step   485000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1776.4s
step   490000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1794.2s
step   495000 | reward(last100)  0.0051 | sigma 0.0239 | elapsed 1810.1s
