step     5000 | reward(last100)  0.0319 | eps 0.976 | elapsed    1.6s
step    10000 | reward(last100)  0.0376 | eps 0.953 | elapsed    3.2s
step    15000 | reward(last100)  0.0757 | eps 0.929 | elapsed   18.3s
step    20000 | reward(last100)  0.1252 | eps 0.905 | elapsed   33.2s
step    25000 | reward(last100)  0.1695 | eps 0.881 | elapsed   48.2s
step    30000 | reward(last100)  0.1976 | eps 0.858 | elapsed   63.2s
step    35000 | reward(last100)  0.1971 | eps 0.834 | elapsed   78.1s
step    40000 | reward(last100)  0.1738 | eps 0.810 | elapsed   93.6s
step    45000 | reward(last100)  0.1521 | eps 0.786 | elapsed  109.8s
step    50000 | reward(last100)  0.1073 | eps 0.762 | elapsed  126.6s
step    55000 | reward(last100)  0.0896 | eps 0.739 | elapsed  144.2s
step    60000 | reward(last100)  0.0963 | eps 0.715 | elapsed  161.0s
step    65000 | reward(last100)  0.1169 | eps 0.691 | elapsed  176.4s
step    70000 | reward(last100)  0.1381 | eps 0.667 | elapsed  191.3s
step    75000 | reward(last100)  0.1808 | eps 0.644 | elapsed  204.9s
step    80000 | reward(last100)  0.2116 | eps 0.620 | elapsed  218.9s
step    85000 | reward(last100)  0.2182 | eps 0.596 | elapsed  233.7s
step    90000 | reward(last100)  0.2259 | eps 0.573 | elapsed  248.5s
step    95000 | reward(last100)  0.2127 | eps 0.549 | elapsed  263.3s
step   100000 | reward(last100)  0.1705 | eps 0.525 | elapsed  275.6s
step   105000 | reward(last100)  0.1798 | eps 0.501 | elapsed  291.9s
step   110000 | reward(last100)  0.1665 | eps 0.478 | elapsed  305.6s
step   115000 | reward(last100)  0.2797 | eps 0.454 | elapsed  315.4s
step   120000 | reward(last100)  0.6980 | eps 0.430 | elapsed  326.0s
step   125000 | reward(last100)  0.7789 | eps 0.406 | elapsed  338.4s
step   130000 | reward(last100)  0.6286 | eps 0.383 | elapsed  354.3s
step   135000 | reward(last100)  0.4776 | eps 0.359 | elapsed  371.4s
step   140000 | reward(last100)  0.3208 | eps 0.335 | elapsed  387.5s
step   145000 | reward(last100)  0.1779 | eps 0.311 | elapsed  404.1s
step   150000 | reward(last100)  0.1077 | eps 0.288 | elapsed  417.7s
step   155000 | reward(last100)  0.0673 | eps 0.264 | elapsed  427.9s
step   160000 | reward(last100)  0.0833 | eps 0.240 | elapsed  440.3s
step   165000 | reward(last100)  0.2337 | eps 0.216 | elapsed  452.9s
step   170000 | reward(last100)  0.4292 | eps 0.193 | elapsed  467.8s
