step     5000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    6.3s
step    10000 | reward(last100)  0.0033 | sigma 0.0309 | elapsed   13.0s
step    15000 | reward(last100)  0.1519 | sigma 0.0300 | elapsed   36.6s
step    20000 | reward(last100)  0.1732 | sigma 0.0284 | elapsed   59.2s
step    25000 | reward(last100)  0.9108 | sigma 0.0271 | elapsed   81.8s
step    30000 | reward(last100)  0.7974 | sigma 0.0261 | elapsed  101.3s
step    35000 | reward(last100)  0.6264 | sigma 0.0255 | elapsed  118.9s
step    40000 | reward(last100)  0.4386 | sigma 0.0252 | elapsed  136.1s
step    45000 | reward(last100)  0.2641 | sigma 0.0250 | elapsed  152.8s
step    50000 | reward(last100)  0.2366 | sigma 0.0248 | elapsed  170.4s
step    55000 | reward(last100)  0.2334 | sigma 0.0247 | elapsed  190.8s
step    60000 | reward(last100)  0.3163 | sigma 0.0246 | elapsed  214.4s
step    65000 | reward(last100)  0.3191 | sigma 0.0245 | elapsed  238.4s
step    70000 | reward(last100)  0.3462 | sigma 0.0244 | elapsed  261.4s
step    75000 | reward(last100)  0.3937 | sigma 0.0243 | elapsed  284.2s
step    80000 | reward(last100)  0.5056 | sigma 0.0243 | elapsed  307.0s
step    85000 | reward(last100)  0.5285 | sigma 0.0242 | elapsed  329.6s
step    90000 | reward(last100)  0.5130 | sigma 0.0241 | elapsed  351.9s
step    95000 | reward(last100)  0.5064 | sigma 0.0241 | elapsed  374.5s
step   100000 | reward(last100)  0.8025 | sigma 0.0240 | elapsed  397.1s
step   105000 | reward(last100)  0.9333 | sigma 0.0240 | elapsed  415.6s
step   110000 | reward(last100)  0.9036 | sigma 0.0239 | elapsed  435.8s
step   115000 | reward(last100)  0.7904 | sigma 0.0238 | elapsed  456.9s
step   120000 | reward(last100)  0.6642 | sigma 0.0238 | elapsed  477.9s
step   125000 | reward(last100)  0.5565 | sigma 0.0238 | elapsed  498.2s
step   130000 | reward(last100)  0.5497 | sigma 0.0237 | elapsed  516.9s
step   135000 | reward(last100)  0.4414 | sigma 0.0237 | elapsed  537.4s
step   140000 | reward(last100)  0.4386 | sigma 0.0237 | elapsed  559.6s
step   145000 | reward(last100)  0.4055 | sigma 0.0237 | elapsed  581.3s
step   150000 | reward(last100)  0.4341 | sigma 0.0237 | elapsed  600.9s
step   155000 | reward(last100)  0.3368 | sigma 0.0237 | elapsed  620.7s
step   160000 | reward(last100)  0.2428 | sigma 0.0236 | elapsed  642.8s
step   165000 | reward(last100)  0.1984 | sigma 0.0236 | elapsed  663.9s
step   170000 | reward(last100)  0.1854 | sigma 0.0236 | elapsed  683.7s
step   175000 | reward(last100)  0.1527 | sigma 0.0236 | elapsed  700.0s
