step     5000 | reward(last100)  0.2509 | sigma 0.0309 | elapsed    4.1s
step    10000 | reward(last100)  0.2154 | sigma 0.0309 | elapsed    8.2s
step    15000 | reward(last100)  0.2468 | sigma 0.0299 | elapsed   23.6s
step    20000 | reward(last100)  0.2416 | sigma 0.0281 | elapsed   41.0s
step    25000 | reward(last100)  0.2382 | sigma 0.0267 | elapsed   59.5s
step    30000 | reward(last100)  0.2894 | sigma 0.0261 | elapsed   78.4s
step    35000 | reward(last100)  0.3557 | sigma 0.0257 | elapsed   96.8s
step    40000 | reward(last100)  0.5278 | sigma 0.0256 | elapsed  112.6s
step    45000 | reward(last100)  0.6182 | sigma 0.0255 | elapsed  126.5s
step    50000 | reward(last100)  0.7624 | sigma 0.0255 | elapsed  145.1s
step    55000 | reward(last100)  0.9149 | sigma 0.0254 | elapsed  161.5s
step    60000 | reward(last100)  0.9375 | sigma 0.0253 | elapsed  176.6s
step    65000 | reward(last100)  0.7804 | sigma 0.0250 | elapsed  195.8s
step    70000 | reward(last100)  0.5908 | sigma 0.0248 | elapsed  211.1s
step    75000 | reward(last100)  0.4155 | sigma 0.0247 | elapsed  229.1s
step    80000 | reward(last100)  0.2368 | sigma 0.0247 | elapsed  247.7s
step    85000 | reward(last100)  0.0882 | sigma 0.0246 | elapsed  265.0s
step    90000 | reward(last100)  0.2433 | sigma 0.0246 | elapsed  280.6s
step    95000 | reward(last100)  0.4490 | sigma 0.0245 | elapsed  296.1s
step   100000 | reward(last100)  0.6693 | sigma 0.0245 | elapsed  315.2s
step   105000 | reward(last100)  0.7214 | sigma 0.0245 | elapsed  333.8s
step   110000 | reward(last100)  0.7247 | sigma 0.0245 | elapsed  352.1s
step   115000 | reward(last100)  0.7877 | sigma 0.0244 | elapsed  366.5s
step   120000 | reward(last100)  0.6897 | sigma 0.0244 | elapsed  385.2s
step   125000 | reward(last100)  0.5337 | sigma 0.0244 | elapsed  403.4s
step   130000 | reward(last100)  0.3898 | sigma 0.0244 | elapsed  420.7s
step   135000 | reward(last100)  0.2550 | sigma 0.0244 | elapsed  436.9s
step   140000 | reward(last100)  0.1525 | sigma 0.0243 | elapsed  455.3s
step   145000 | reward(last100)  0.0899 | sigma 0.0243 | elapsed  473.6s
step   150000 | reward(last100)  0.0472 | sigma 0.0243 | elapsed  492.6s
step   155000 | reward(last100)  0.0630 | sigma 0.0243 | elapsed  509.2s
step   160000 | reward(last100)  0.1587 | sigma 0.0243 | elapsed  527.3s
step   165000 | reward(last100)  0.1606 | sigma 0.0242 | elapsed  541.7s
step   170000 | reward(last100)  0.1664 | sigma 0.0243 | elapsed  560.3s
step   175000 | reward(last100)  0.1944 | sigma 0.0242 | elapsed  576.4s
step   180000 | reward(last100)  0.3800 | sigma 0.0242 | elapsed  591.3s
step   185000 | reward(last100)  0.7476 | sigma 0.0242 | elapsed  605.9s
step   190000 | reward(last100)  0.8390 | sigma 0.0242 | elapsed  620.4s
step   195000 | reward(last100)  0.9329 | sigma 0.0242 | elapsed  635.5s
step   200000 | reward(last100)  0.8546 | sigma 0.0242 | elapsed  650.7s
step   205000 | reward(last100)  0.6773 | sigma 0.0242 | elapsed  667.5s
step   210000 | reward(last100)  0.5333 | sigma 0.0242 | elapsed  684.9s
step   215000 | reward(last100)  0.3960 | sigma 0.0242 | elapsed  702.6s
step   220000 | reward(last100)  0.4007 | sigma 0.0242 | elapsed  719.8s
step   225000 | reward(last100)  0.6235 | sigma 0.0242 | elapsed  737.0s
step   230000 | reward(last100)  0.8065 | sigma 0.0242 | elapsed  753.9s
step   235000 | reward(last100)  0.9034 | sigma 0.0242 | elapsed  771.8s
step   240000 | reward(last100)  0.9499 | sigma 0.0242 | elapsed  790.1s
step   245000 | reward(last100)  0.9534 | sigma 0.0241 | elapsed  808.1s
step   250000 | reward(last100)  0.9534 | sigma 0.0241 | elapsed  825.2s
step   255000 | reward(last100)  0.9120 | sigma 0.0241 | elapsed  840.0s
step   260000 | reward(last100)  0.9455 | sigma 0.0241 | elapsed  857.1s
step   265000 | reward(last100)  0.9429 | sigma 0.0241 | elapsed  878.0s
step   270000 | reward(last100)  0.9421 | sigma 0.0241 | elapsed  898.2s
step   275000 | reward(last100)  0.9512 | sigma 0.0241 | elapsed  916.5s
step   280000 | reward(last100)  0.9537 | sigma 0.0241 | elapsed  935.2s
step   285000 | reward(last100)  0.9528 | sigma 0.0241 | elapsed  956.3s
step   290000 | reward(last100)  0.9527 | sigma 0.0241 | elapsed  977.4s
step   295000 | reward(last100)  0.9533 | sigma 0.0241 | elapsed  998.5s
step   300000 | reward(last100)  0.9488 | sigma 0.0241 | elapsed 1017.9s
step   305000 | reward(last100)  0.9504 | sigma 0.0241 | elapsed 1039.3s
step   310000 | reward(last100)  0.9521 | sigma 0.0241 | elapsed 1056.5s
step   315000 | reward(last100)  0.9528 | sigma 0.0241 | elapsed 1074.9s
step   320000 | reward(last100)  0.9530 | sigma 0.0241 | elapsed 1094.9s
step   325000 | reward(last100)  0.9526 | sigma 0.0241 | elapsed 1115.5s
step   330000 | reward(last100)  0.9535 | sigma 0.0241 | elapsed 1132.7s
step   335000 | reward(last100)  0.9539 | sigma 0.0241 | elapsed 1152.0s
step   340000 | reward(last100)  0.9539 | sigma 0.0241 | elapsed 1169.6s
step   345000 | reward(last100)  0.9538 | sigma 0.0241 | elapsed 1186.0s
step   350000 | reward(last100)  0.9531 | sigma 0.0241 | elapsed 1202.3s
step   355000 | reward(last100)  0.9520 | sigma 0.0241 | elapsed 1220.4s
step   360000 | reward(last100)  0.9511 | sigma 0.0240 | elapsed 1237.8s
step   365000 | reward(last100)  0.9534 | sigma 0.0241 | elapsed 1257.7s
step   370000 | reward(last100)  0.9535 | sigma 0.0240 | elapsed 1280.3s
step   375000 | reward(last100)  0.9517 | sigma 0.0240 | elapsed 1299.5s
step   380000 | reward(last100)  0.9503 | sigma 0.0240 | elapsed 1317.5s
step   385000 | reward(last100)  0.9530 | sigma 0.0240 | elapsed 1335.4s
step   390000 | reward(last100)  0.9526 | sigma 0.0241 | elapsed 1353.7s
step   395000 | reward(last100)  0.9527 | sigma 0.0241 | elapsed 1371.5s
step   400000 | reward(last100)  0.9519 | sigma 0.0240 | elapsed 1388.7s
step   405000 | reward(last100)  0.9515 | sigma 0.0241 | elapsed 1405.3s
step   410000 | reward(last100)  0.9510 | sigma 0.0241 | elapsed 1425.2s
step   415000 | reward(last100)  0.9535 | sigma 0.0240 | elapsed 1447.3s
step   420000 | reward(last100)  0.9529 | sigma 0.0240 | elapsed 1467.2s
step   425000 | reward(last100)  0.9521 | sigma 0.0241 | elapsed 1483.5s
step   430000 | reward(last100)  0.9531 | sigma 0.0240 | elapsed 1500.8s
step   435000 | reward(last100)  0.9530 | sigma 0.0240 | elapsed 1517.5s
step   440000 | reward(last100)  0.9532 | sigma 0.0240 | elapsed 1537.0s
step   445000 | reward(last100)  0.9537 | sigma 0.0241 | elapsed 1554.9s
step   450000 | reward(last100)  0.9528 | sigma 0.0241 | elapsed 1573.4s
step   455000 | reward(last100)  0.9524 | sigma 0.0241 | elapsed 1592.0s
step   460000 | reward(last100)  0.9530 | sigma 0.0240 | elapsed 1610.0s
step   465000 | reward(last100)  0.9529 | sigma 0.0240 | elapsed 1628.1s
step   470000 | reward(last100)  0.9516 | sigma 0.0241 | elapsed 1645.3s
step   475000 | reward(last100)  0.9522 | sigma 0.0241 | elapsed 1662.3s
step   480000 | reward(last100)  0.9475 | sigma 0.0241 | elapsed 1679.5s
step   485000 | reward(last100)  0.9497 | sigma 0.0241 | elapsed 1697.2s
step   490000 | reward(last100)  0.9531 | sigma 0.0241 | elapsed 1714.4s
step   495000 | reward(last100)  0.9537 | sigma 0.0241 | elapsed 1732.3s
step   500000 | reward(last100)  0.9533 | sigma 0.0241 | elapsed 1750.2s
