step     5000 | reward(last100)  0.0010 | sigma 0.0309 | elapsed    4.2s
step    10000 | reward(last100)  0.0000 | sigma 0.0309 | elapsed    8.6s
step    15000 | reward(last100)  0.0081 | sigma 0.0295 | elapsed   29.5s
step    20000 | reward(last100)  0.0046 | sigma 0.0276 | elapsed   50.8s
step    25000 | reward(last100)  0.0093 | sigma 0.0263 | elapsed   72.1s
step    30000 | reward(last100)  0.0067 | sigma 0.0255 | elapsed   92.1s
step    35000 | reward(last100)  0.0000 | sigma 0.0251 | elapsed  111.1s
step    40000 | reward(last100)  0.0000 | sigma 0.0249 | elapsed  134.0s
step    45000 | reward(last100)  0.0000 | sigma 0.0247 | elapsed  152.1s
step    50000 | reward(last100)  0.0000 | sigma 0.0246 | elapsed  173.2s
step    55000 | reward(last100)  0.0000 | sigma 0.0245 | elapsed  193.6s
step    60000 | reward(last100)  0.0000 | sigma 0.0244 | elapsed  213.5s
step    65000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  231.2s
step    70000 | reward(last100)  0.0000 | sigma 0.0243 | elapsed  250.8s
step    75000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  274.5s
step    80000 | reward(last100)  0.0000 | sigma 0.0242 | elapsed  297.2s
step    85000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  317.8s
step    90000 | reward(last100)  0.0000 | sigma 0.0241 | elapsed  334.3s
step    95000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  354.9s
step   100000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  377.9s
step   105000 | reward(last100)  0.0000 | sigma 0.0240 | elapsed  394.8s
step   110000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  410.3s
step   115000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  425.5s
step   120000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  443.4s
step   125000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  461.7s
step   130000 | reward(last100)  0.0000 | sigma 0.0239 | elapsed  479.0s
step   135000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  496.4s
step   140000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  513.7s
step   145000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  529.2s
step   150000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  548.0s
step   155000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  567.6s
step   160000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  588.2s
step   165000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  608.7s
step   170000 | reward(last100)  0.0000 | sigma 0.0238 | elapsed  628.8s
step   175000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  647.9s
step   180000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  668.1s
step   185000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  688.9s
step   190000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  709.2s
step   195000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  727.7s
step   200000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  746.8s
step   205000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  765.1s
step   210000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  787.0s
step   215000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  807.3s
step   220000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  827.7s
step   225000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  847.1s
step   230000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  866.2s
step   235000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  885.2s
step   240000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  903.2s
step   245000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed  920.5s
step   250000 | reward(last100)  0.0000 | sigma 0.0237 | elapsed  935.6s
step   255000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed  959.1s
step   260000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed  977.5s
step   265000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed  995.5s
step   270000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1012.9s
step   275000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1029.6s
step   280000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1046.0s
step   285000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1067.4s
step   290000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1090.2s
step   295000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1112.6s
step   300000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1135.5s
step   305000 | reward(last100)  0.0000 | sigma 0.0236 | elapsed 1155.6s
step   310000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1179.1s
step   315000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1203.3s
step   320000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1222.4s
step   325000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1242.9s
step   330000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1261.5s
step   335000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1285.0s
step   340000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1303.5s
step   345000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1321.4s
step   350000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1340.8s
step   355000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1361.5s
step   360000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1378.1s
step   365000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1397.2s
step   370000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1420.6s
step   375000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1443.6s
step   380000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1465.8s
step   385000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1488.6s
step   390000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1511.4s
step   395000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1533.1s
step   400000 | reward(last100)  0.0000 | sigma 0.0235 | elapsed 1552.0s
step   405000 | reward(last100)  0.0155 | sigma 0.0237 | elapsed 1571.8s
step   410000 | reward(last100)  0.1669 | sigma 0.0239 | elapsed 1590.7s
step   415000 | reward(last100)  0.0596 | sigma 0.0237 | elapsed 1609.5s
step   420000 | reward(last100)  0.0000 | sigma 0.0231 | elapsed 1628.5s
step   425000 | reward(last100)  0.0000 | sigma 0.0225 | elapsed 1646.4s
step   430000 | reward(last100)  0.0000 | sigma 0.0219 | elapsed 1664.7s
step   435000 | reward(last100)  0.0000 | sigma 0.0214 | elapsed 1682.3s
step   440000 | reward(last100)  0.0000 | sigma 0.0211 | elapsed 1699.5s
step   445000 | reward(last100)  0.0000 | sigma 0.0208 | elapsed 1719.2s
step   450000 | reward(last100)  0.0000 | sigma 0.0207 | elapsed 1740.3s
step   455000 | reward(last100)  0.0000 | sigma 0.0206 | elapsed 1762.2s
step   460000 | reward(last100)  0.0000 | sigma 0.0205 | elapsed 1784.0s
step   465000 | reward(last100)  0.0000 | sigma 0.0204 | elapsed 1803.5s
step   470000 | reward(last100)  0.0000 | sigma 0.0204 | elapsed 1821.0s
step   475000 | reward(last100)  0.0000 | sigma 0.0203 | elapsed 1837.4s
step   480000 | reward(last100)  0.0000 | sigma 0.0203 | elapsed 1853.2s
step   485000 | reward(last100)  0.0000 | sigma 0.0202 | elapsed 1873.1s
step   490000 | reward(last100)  0.0000 | sigma 0.0202 | elapsed 1895.6s
step   495000 | reward(last100)  0.0000 | sigma 0.0202 | elapsed 1918.0s
step   500000 | reward(last100)  0.0000 | sigma 0.0202 | elapsed 1939.3s
step   505000 | reward(last100)  0.0000 | sigma 0.0202 | elapsed 1958.1s
step   510000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 1977.0s
step   515000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 1995.5s
step   520000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2013.6s
step   525000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2031.7s
step   530000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2049.8s
step   535000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2071.2s
step   540000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2089.7s
step   545000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2107.2s
step   550000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2124.6s
step   555000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2141.3s
step   560000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2157.0s
step   565000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2172.6s
step   570000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2188.1s
step   575000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2203.7s
step   580000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2219.4s
step   585000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2235.8s
step   590000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2253.2s
step   595000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2270.6s
step   600000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2288.7s
step   605000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2306.3s
step   610000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2324.0s
step   615000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2341.1s
step   620000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2360.4s
step   625000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2380.8s
step   630000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2401.3s
step   635000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2419.9s
step   640000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2437.3s
step   645000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2453.1s
step   650000 | reward(last100)  0.0000 | sigma 0.0201 | elapsed 2469.1s
step   655000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2490.3s
step   660000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2508.9s
step   665000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2525.4s
step   670000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2541.6s
step   675000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2557.8s
step   680000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2574.0s
step   685000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2590.7s
step   690000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2608.1s
step   695000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2627.4s
step   700000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2649.7s
step   705000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2669.7s
step   710000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2688.1s
step   715000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2706.3s
step   720000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2724.6s
step   725000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2742.5s
step   730000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2759.4s
step   735000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2777.1s
step   740000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2795.1s
step   745000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2816.8s
step   750000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2835.6s
step   755000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2853.4s
step   760000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2872.4s
step   765000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2896.0s
step   770000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2920.4s
step   775000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2944.0s
step   780000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2962.6s
step   785000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2979.8s
step   790000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 2996.2s
step   795000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 3012.9s
step   800000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 3029.9s
step   805000 | reward(last100)  0.0000 | sigma 0.0200 | elapsed 3049.1s
step   810000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3066.9s
step   815000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3083.3s
step   820000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3099.8s
step   825000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3117.7s
step   830000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3137.6s
step   835000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3154.9s
step   840000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3172.1s
step   845000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3189.8s
step   850000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3208.2s
step   855000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3228.7s
step   860000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3250.5s
step   865000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3272.5s
step   870000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3294.7s
step   875000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3316.5s
step   880000 | reward(last100)  0.0000 | sigma 0.0199 | elapsed 3338.4s
step   885000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3360.6s
step   890000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3383.0s
step   895000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3405.7s
step   900000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3428.1s
step   905000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3451.0s
step   910000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3470.3s
step   915000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3489.8s
step   920000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3511.7s
step   925000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3530.9s
step   930000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3550.7s
step   935000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3568.5s
step   940000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3586.3s
step   945000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3604.3s
step   950000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3621.6s
step   955000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3641.3s
step   960000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3659.9s
step   965000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3677.7s
step   970000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3697.3s
step   975000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3719.7s
step   980000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3739.7s
step   985000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3759.1s
step   990000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3780.0s
step   995000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 3801.0s
step  1000000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3822.0s
step  1005000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3839.4s
step  1010000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 3856.9s
step  1015000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3875.0s
step  1020000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3896.1s
step  1025000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 3913.8s
step  1030000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3930.7s
step  1035000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 3947.7s
step  1040000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3964.8s
step  1045000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 3981.9s
step  1050000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 3999.7s
step  1055000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4017.5s
step  1060000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4035.0s
step  1065000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4052.5s
step  1070000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4070.0s
step  1075000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4091.4s
step  1080000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4113.0s
step  1085000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4132.4s
step  1090000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4152.4s
step  1095000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4171.7s
step  1100000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4190.9s
step  1105000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4209.1s
step  1110000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4226.8s
step  1115000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4244.9s
step  1120000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4262.8s
step  1125000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4281.1s
step  1130000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4302.1s
step  1135000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4325.8s
step  1140000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4348.9s
step  1145000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4372.5s
step  1150000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4395.6s
step  1155000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4416.4s
step  1160000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4437.9s
step  1165000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4457.0s
step  1170000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4476.6s
step  1175000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4496.3s
step  1180000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4516.0s
step  1185000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4535.5s
step  1190000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4555.1s
step  1195000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4575.4s
step  1200000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4594.8s
step  1205000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4615.9s
step  1210000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4635.8s
step  1215000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4655.8s
step  1220000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4675.7s
step  1225000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4695.1s
step  1230000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4714.7s
step  1235000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4734.2s
step  1240000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4753.9s
step  1245000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4773.4s
step  1250000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4792.1s
step  1255000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4815.4s
step  1260000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4835.3s
step  1265000 | reward(last100)  0.0000 | sigma 0.0197 | elapsed 4854.4s
step  1270000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4873.0s
step  1275000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4891.6s
step  1280000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4910.1s
step  1285000 | reward(last100)  0.0000 | sigma 0.0198 | elapsed 4928.5s
