step     5000 | reward(last100)  0.0158 | sigma 0.0309 | elapsed    4.4s
step    10000 | reward(last100)  0.0023 | sigma 0.0309 | elapsed    8.9s
step    15000 | reward(last100)  0.0222 | sigma 0.0299 | elapsed   29.4s
step    20000 | reward(last100)  0.0298 | sigma 0.0281 | elapsed   45.0s
step    25000 | reward(last100)  0.0160 | sigma 0.0268 | elapsed   60.4s
step    30000 | reward(last100)  0.0494 | sigma 0.0263 | elapsed   75.7s
step    35000 | reward(last100)  0.0624 | sigma 0.0261 | elapsed   91.1s
step    40000 | reward(last100)  0.0162 | sigma 0.0261 | elapsed  108.7s
step    45000 | reward(last100)  0.0218 | sigma 0.0260 | elapsed  128.2s
step    50000 | reward(last100)  0.0265 | sigma 0.0260 | elapsed  149.9s
step    55000 | reward(last100)  0.0308 | sigma 0.0259 | elapsed  169.6s
step    60000 | reward(last100)  0.0153 | sigma 0.0258 | elapsed  190.5s
step    65000 | reward(last100)  0.0246 | sigma 0.0258 | elapsed  212.1s
step    70000 | reward(last100)  0.0515 | sigma 0.0257 | elapsed  232.9s
step    75000 | reward(last100)  0.0753 | sigma 0.0257 | elapsed  253.6s
step    80000 | reward(last100)  0.1169 | sigma 0.0257 | elapsed  274.6s
step    85000 | reward(last100)  0.1340 | sigma 0.0257 | elapsed  295.1s
step    90000 | reward(last100)  0.1820 | sigma 0.0256 | elapsed  314.6s
step    95000 | reward(last100)  0.2979 | sigma 0.0256 | elapsed  329.2s
step   100000 | reward(last100)  0.3917 | sigma 0.0255 | elapsed  343.6s
step   105000 | reward(last100)  0.3381 | sigma 0.0255 | elapsed  361.6s
step   110000 | reward(last100)  0.4539 | sigma 0.0255 | elapsed  380.3s
step   115000 | reward(last100)  0.5016 | sigma 0.0254 | elapsed  399.3s
step   120000 | reward(last100)  0.4553 | sigma 0.0254 | elapsed  418.2s
step   125000 | reward(last100)  0.4349 | sigma 0.0253 | elapsed  434.4s
step   130000 | reward(last100)  0.4303 | sigma 0.0252 | elapsed  456.8s
step   135000 | reward(last100)  0.4867 | sigma 0.0251 | elapsed  472.7s
step   140000 | reward(last100)  0.6321 | sigma 0.0250 | elapsed  486.0s
step   145000 | reward(last100)  0.6299 | sigma 0.0250 | elapsed  506.1s
step   150000 | reward(last100)  0.5470 | sigma 0.0250 | elapsed  525.1s
step   155000 | reward(last100)  0.5230 | sigma 0.0250 | elapsed  542.4s
step   160000 | reward(last100)  0.4757 | sigma 0.0249 | elapsed  562.1s
step   165000 | reward(last100)  0.4324 | sigma 0.0249 | elapsed  580.1s
step   170000 | reward(last100)  0.4330 | sigma 0.0249 | elapsed  599.0s
step   175000 | reward(last100)  0.3140 | sigma 0.0249 | elapsed  619.0s
step   180000 | reward(last100)  0.4443 | sigma 0.0249 | elapsed  637.1s
step   185000 | reward(last100)  0.4266 | sigma 0.0249 | elapsed  656.4s
step   190000 | reward(last100)  0.4298 | sigma 0.0249 | elapsed  676.1s
step   195000 | reward(last100)  0.3627 | sigma 0.0249 | elapsed  695.8s
step   200000 | reward(last100)  0.4367 | sigma 0.0249 | elapsed  714.5s
step   205000 | reward(last100)  0.3168 | sigma 0.0248 | elapsed  731.5s
step   210000 | reward(last100)  0.4081 | sigma 0.0248 | elapsed  745.3s
step   215000 | reward(last100)  0.4511 | sigma 0.0248 | elapsed  764.1s
step   220000 | reward(last100)  0.3317 | sigma 0.0248 | elapsed  782.8s
step   225000 | reward(last100)  0.3427 | sigma 0.0248 | elapsed  801.0s
step   230000 | reward(last100)  0.2426 | sigma 0.0248 | elapsed  816.5s
step   235000 | reward(last100)  0.3658 | sigma 0.0248 | elapsed  835.2s
step   240000 | reward(last100)  0.3660 | sigma 0.0248 | elapsed  853.3s
step   245000 | reward(last100)  0.3080 | sigma 0.0248 | elapsed  870.1s
step   250000 | reward(last100)  0.3312 | sigma 0.0248 | elapsed  885.0s
step   255000 | reward(last100)  0.3886 | sigma 0.0248 | elapsed  900.6s
step   260000 | reward(last100)  0.4287 | sigma 0.0248 | elapsed  914.8s
step   265000 | reward(last100)  0.3538 | sigma 0.0248 | elapsed  935.5s
step   270000 | reward(last100)  0.4489 | sigma 0.0248 | elapsed  952.1s
step   275000 | reward(last100)  0.3508 | sigma 0.0247 | elapsed  967.4s
step   280000 | reward(last100)  0.4116 | sigma 0.0248 | elapsed  983.6s
step   285000 | reward(last100)  0.4258 | sigma 0.0247 | elapsed 1000.2s
step   290000 | reward(last100)  0.1720 | sigma 0.0248 | elapsed 1021.1s
step   295000 | reward(last100)  0.3351 | sigma 0.0248 | elapsed 1041.4s
step   300000 | reward(last100)  0.3246 | sigma 0.0248 | elapsed 1061.7s
step   305000 | reward(last100)  0.3738 | sigma 0.0247 | elapsed 1082.9s
step   310000 | reward(last100)  0.4665 | sigma 0.0247 | elapsed 1103.7s
step   315000 | reward(last100)  0.3689 | sigma 0.0247 | elapsed 1124.5s
step   320000 | reward(last100)  0.4347 | sigma 0.0248 | elapsed 1145.0s
step   325000 | reward(last100)  0.3197 | sigma 0.0247 | elapsed 1163.8s
step   330000 | reward(last100)  0.4285 | sigma 0.0247 | elapsed 1183.9s
step   335000 | reward(last100)  0.3491 | sigma 0.0247 | elapsed 1204.1s
step   340000 | reward(last100)  0.4714 | sigma 0.0247 | elapsed 1223.4s
step   345000 | reward(last100)  0.4177 | sigma 0.0247 | elapsed 1243.2s
step   350000 | reward(last100)  0.3661 | sigma 0.0246 | elapsed 1262.9s
step   355000 | reward(last100)  0.3786 | sigma 0.0247 | elapsed 1283.0s
step   360000 | reward(last100)  0.3383 | sigma 0.0246 | elapsed 1302.8s
step   365000 | reward(last100)  0.3798 | sigma 0.0247 | elapsed 1322.4s
step   370000 | reward(last100)  0.3510 | sigma 0.0247 | elapsed 1342.4s
step   375000 | reward(last100)  0.4331 | sigma 0.0247 | elapsed 1359.2s
step   380000 | reward(last100)  0.5152 | sigma 0.0247 | elapsed 1379.6s
step   385000 | reward(last100)  0.3645 | sigma 0.0246 | elapsed 1400.1s
step   390000 | reward(last100)  0.4146 | sigma 0.0246 | elapsed 1421.6s
step   395000 | reward(last100)  0.3889 | sigma 0.0246 | elapsed 1440.6s
step   400000 | reward(last100)  0.3650 | sigma 0.0246 | elapsed 1458.3s
step   405000 | reward(last100)  0.3947 | sigma 0.0246 | elapsed 1475.5s
step   410000 | reward(last100)  0.3562 | sigma 0.0246 | elapsed 1492.2s
step   415000 | reward(last100)  0.2827 | sigma 0.0246 | elapsed 1508.1s
step   420000 | reward(last100)  0.3890 | sigma 0.0246 | elapsed 1525.8s
step   425000 | reward(last100)  0.3992 | sigma 0.0246 | elapsed 1544.3s
step   430000 | reward(last100)  0.3683 | sigma 0.0246 | elapsed 1565.0s
step   435000 | reward(last100)  0.3167 | sigma 0.0246 | elapsed 1585.1s
step   440000 | reward(last100)  0.4177 | sigma 0.0246 | elapsed 1605.8s
step   445000 | reward(last100)  0.3575 | sigma 0.0246 | elapsed 1623.4s
