==> installing Atari ROMs (idempotent)
AutoROM will download the Atari 2600 ROMs.
They will be installed to:
	/home/vestjejj/NoisyNetworks/.venv/lib/python3.11/site-packages/AutoROM/roms

Existing ROMs will be overwritten.
==> skipping asterix_base_noisy (already done)
==> skipping asterix_base_baseline (already done)
==> skipping asterix_ddqn_noisy (already done)
==> skipping asterix_ddqn_baseline (already done)
==> skipping asterix_per_noisy (already done)

==========================================
==> starting: asterix_per_baseline
==========================================
A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]
step    10000 | reward(last100)    1.82 | eps 0.960 | elapsed   11.4s
step    20000 | reward(last100)    2.01 | eps 0.921 | elapsed   22.5s
step    30000 | reward(last100)    1.94 | eps 0.881 | elapsed   48.1s
step    40000 | reward(last100)    1.75 | eps 0.842 | elapsed   73.2s
step    50000 | reward(last100)    1.84 | eps 0.802 | elapsed  100.2s
step    60000 | reward(last100)    1.60 | eps 0.762 | elapsed  127.2s
step    70000 | reward(last100)    1.79 | eps 0.723 | elapsed  153.9s
step    80000 | reward(last100)    1.63 | eps 0.683 | elapsed  180.3s
step    90000 | reward(last100)    1.57 | eps 0.644 | elapsed  209.6s
step   100000 | reward(last100)    1.56 | eps 0.604 | elapsed  240.0s
step   110000 | reward(last100)    1.62 | eps 0.564 | elapsed  269.7s
step   120000 | reward(last100)    1.52 | eps 0.525 | elapsed  299.9s
step   130000 | reward(last100)    2.03 | eps 0.485 | elapsed  330.3s
step   140000 | reward(last100)    2.05 | eps 0.446 | elapsed  360.7s
step   150000 | reward(last100)    2.29 | eps 0.406 | elapsed  394.3s
step   160000 | reward(last100)    2.34 | eps 0.366 | elapsed  429.1s
step   170000 | reward(last100)    2.27 | eps 0.327 | elapsed  458.7s
step   180000 | reward(last100)    1.97 | eps 0.287 | elapsed  487.6s
step   190000 | reward(last100)    2.47 | eps 0.248 | elapsed  516.6s
step   200000 | reward(last100)    2.59 | eps 0.208 | elapsed  546.2s
step   210000 | reward(last100)    2.92 | eps 0.168 | elapsed  577.6s
step   220000 | reward(last100)    2.38 | eps 0.129 | elapsed  608.1s
step   230000 | reward(last100)    2.63 | eps 0.089 | elapsed  639.9s
step   240000 | reward(last100)    2.28 | eps 0.050 | elapsed  673.9s
step   250000 | reward(last100)    2.81 | eps 0.010 | elapsed  708.4s
step   260000 | reward(last100)    2.93 | eps 0.010 | elapsed  743.1s
step   270000 | reward(last100)    2.56 | eps 0.010 | elapsed  776.4s
step   280000 | reward(last100)    2.73 | eps 0.010 | elapsed  807.9s
step   290000 | reward(last100)    3.26 | eps 0.010 | elapsed  841.8s
step   300000 | reward(last100)    3.08 | eps 0.010 | elapsed  878.0s
step   310000 | reward(last100)    3.42 | eps 0.010 | elapsed  915.2s
step   320000 | reward(last100)    3.23 | eps 0.010 | elapsed  954.5s
step   330000 | reward(last100)    3.13 | eps 0.010 | elapsed  993.5s
step   340000 | reward(last100)    3.10 | eps 0.010 | elapsed 1032.5s
step   350000 | reward(last100)    3.02 | eps 0.010 | elapsed 1071.7s
step   360000 | reward(last100)    3.42 | eps 0.010 | elapsed 1107.4s
step   370000 | reward(last100)    3.16 | eps 0.010 | elapsed 1143.1s
step   380000 | reward(last100)    3.45 | eps 0.010 | elapsed 1179.3s
step   390000 | reward(last100)    3.44 | eps 0.010 | elapsed 1217.5s
step   400000 | reward(last100)    3.44 | eps 0.010 | elapsed 1255.0s
step   410000 | reward(last100)    3.37 | eps 0.010 | elapsed 1294.4s
step   420000 | reward(last100)    3.47 | eps 0.010 | elapsed 1333.6s
step   430000 | reward(last100)    4.02 | eps 0.010 | elapsed 1372.7s
step   440000 | reward(last100)    4.35 | eps 0.010 | elapsed 1411.8s
step   450000 | reward(last100)    4.35 | eps 0.010 | elapsed 1450.8s
step   460000 | reward(last100)    4.69 | eps 0.010 | elapsed 1489.2s
step   470000 | reward(last100)    4.19 | eps 0.010 | elapsed 1528.2s
step   480000 | reward(last100)    4.98 | eps 0.010 | elapsed 1567.1s
step   490000 | reward(last100)    4.92 | eps 0.010 | elapsed 1603.8s
step   500000 | reward(last100)    4.96 | eps 0.010 | elapsed 1640.4s
step   510000 | reward(last100)    5.53 | eps 0.010 | elapsed 1677.7s
step   520000 | reward(last100)    5.53 | eps 0.010 | elapsed 1716.4s
step   530000 | reward(last100)    5.62 | eps 0.010 | elapsed 1755.1s
step   540000 | reward(last100)    5.10 | eps 0.010 | elapsed 1793.7s
step   550000 | reward(last100)    5.54 | eps 0.010 | elapsed 1832.3s
step   560000 | reward(last100)    6.10 | eps 0.010 | elapsed 1871.0s
step   570000 | reward(last100)    5.88 | eps 0.010 | elapsed 1909.9s
step   580000 | reward(last100)    6.34 | eps 0.010 | elapsed 1948.3s
step   590000 | reward(last100)    6.85 | eps 0.010 | elapsed 1984.9s
step   600000 | reward(last100)    7.26 | eps 0.010 | elapsed 2021.5s
step   610000 | reward(last100)    6.41 | eps 0.010 | elapsed 2057.9s
step   620000 | reward(last100)    6.56 | eps 0.010 | elapsed 2093.1s
step   630000 | reward(last100)    6.69 | eps 0.010 | elapsed 2130.5s
step   640000 | reward(last100)    6.95 | eps 0.010 | elapsed 2167.3s
step   650000 | reward(last100)    6.60 | eps 0.010 | elapsed 2203.9s
step   660000 | reward(last100)    6.84 | eps 0.010 | elapsed 2242.9s
step   670000 | reward(last100)    8.02 | eps 0.010 | elapsed 2281.6s
step   680000 | reward(last100)    9.44 | eps 0.010 | elapsed 2320.2s
step   690000 | reward(last100)    9.39 | eps 0.010 | elapsed 2359.6s
step   700000 | reward(last100)    8.93 | eps 0.010 | elapsed 2398.6s
step   710000 | reward(last100)    8.25 | eps 0.010 | elapsed 2437.7s
step   720000 | reward(last100)    9.75 | eps 0.010 | elapsed 2476.8s
step   730000 | reward(last100)    9.83 | eps 0.010 | elapsed 2515.6s
step   740000 | reward(last100)    9.86 | eps 0.010 | elapsed 2554.3s
step   750000 | reward(last100)   10.04 | eps 0.010 | elapsed 2593.0s
step   760000 | reward(last100)   10.93 | eps 0.010 | elapsed 2631.2s
step   770000 | reward(last100)   12.31 | eps 0.010 | elapsed 2670.4s
step   780000 | reward(last100)   12.67 | eps 0.010 | elapsed 2710.2s
step   790000 | reward(last100)   11.82 | eps 0.010 | elapsed 2750.0s
step   800000 | reward(last100)   11.60 | eps 0.010 | elapsed 2790.0s
step   810000 | reward(last100)   11.66 | eps 0.010 | elapsed 2829.4s
step   820000 | reward(last100)   12.62 | eps 0.010 | elapsed 2869.7s
step   830000 | reward(last100)   12.67 | eps 0.010 | elapsed 2910.8s
